Saving path info
Not complete. Starting non-linear search.
number_of_cores == 1...
...not using pool
No Dynesty samples found, beginning new non-linear search. 
220000 Iterations: Performing update (Visualization, outputting samples, etc.).
225000 Iterations: Performing update (Visualization, outputting samples, etc.).
230000 Iterations: Performing update (Visualization, outputting samples, etc.).
235000 Iterations: Performing update (Visualization, outputting samples, etc.).
240000 Iterations: Performing update (Visualization, outputting samples, etc.).
245000 Iterations: Performing update (Visualization, outputting samples, etc.).
250000 Iterations: Performing update (Visualization, outputting samples, etc.).
255000 Iterations: Performing update (Visualization, outputting samples, etc.).
260000 Iterations: Performing update (Visualization, outputting samples, etc.).
265000 Iterations: Performing update (Visualization, outputting samples, etc.).
270000 Iterations: Performing update (Visualization, outputting samples, etc.).
275000 Iterations: Performing update (Visualization, outputting samples, etc.).
280000 Iterations: Performing update (Visualization, outputting samples, etc.).
285000 Iterations: Performing update (Visualization, outputting samples, etc.).
290000 Iterations: Performing update (Visualization, outputting samples, etc.).
295000 Iterations: Performing update (Visualization, outputting samples, etc.).
300000 Iterations: Performing update (Visualization, outputting samples, etc.).
305000 Iterations: Performing update (Visualization, outputting samples, etc.).
310000 Iterations: Performing update (Visualization, outputting samples, etc.).
315000 Iterations: Performing update (Visualization, outputting samples, etc.).
320000 Iterations: Performing update (Visualization, outputting samples, etc.).
325000 Iterations: Performing update (Visualization, outputting samples, etc.).
330000 Iterations: Performing update (Visualization, outputting samples, etc.).
335000 Iterations: Performing update (Visualization, outputting samples, etc.).
340000 Iterations: Performing update (Visualization, outputting samples, etc.).
345000 Iterations: Performing update (Visualization, outputting samples, etc.).
350000 Iterations: Performing update (Visualization, outputting samples, etc.).
355000 Iterations: Performing update (Visualization, outputting samples, etc.).
360000 Iterations: Performing update (Visualization, outputting samples, etc.).
365000 Iterations: Performing update (Visualization, outputting samples, etc.).
370000 Iterations: Performing update (Visualization, outputting samples, etc.).
375000 Iterations: Performing update (Visualization, outputting samples, etc.).
380000 Iterations: Performing update (Visualization, outputting samples, etc.).
385000 Iterations: Performing update (Visualization, outputting samples, etc.).
390000 Iterations: Performing update (Visualization, outputting samples, etc.).
395000 Iterations: Performing update (Visualization, outputting samples, etc.).
400000 Iterations: Performing update (Visualization, outputting samples, etc.).
Saving path info
Not complete. Starting non-linear search.
number_of_cores == 1...
...not using pool
Existing Dynesty samples found, resuming non-linear search.
5000 Iterations: Performing update (Visualization, outputting samples, etc.).
10000 Iterations: Performing update (Visualization, outputting samples, etc.).
15000 Iterations: Performing update (Visualization, outputting samples, etc.).
20000 Iterations: Performing update (Visualization, outputting samples, etc.).
25000 Iterations: Performing update (Visualization, outputting samples, etc.).
30000 Iterations: Performing update (Visualization, outputting samples, etc.).
35000 Iterations: Performing update (Visualization, outputting samples, etc.).
40000 Iterations: Performing update (Visualization, outputting samples, etc.).
45000 Iterations: Performing update (Visualization, outputting samples, etc.).
50000 Iterations: Performing update (Visualization, outputting samples, etc.).
55000 Iterations: Performing update (Visualization, outputting samples, etc.).
60000 Iterations: Performing update (Visualization, outputting samples, etc.).
65000 Iterations: Performing update (Visualization, outputting samples, etc.).
70000 Iterations: Performing update (Visualization, outputting samples, etc.).
75000 Iterations: Performing update (Visualization, outputting samples, etc.).
80000 Iterations: Performing update (Visualization, outputting samples, etc.).
85000 Iterations: Performing update (Visualization, outputting samples, etc.).
90000 Iterations: Performing update (Visualization, outputting samples, etc.).
95000 Iterations: Performing update (Visualization, outputting samples, etc.).
100000 Iterations: Performing update (Visualization, outputting samples, etc.).
105000 Iterations: Performing update (Visualization, outputting samples, etc.).
110000 Iterations: Performing update (Visualization, outputting samples, etc.).
115000 Iterations: Performing update (Visualization, outputting samples, etc.).
120000 Iterations: Performing update (Visualization, outputting samples, etc.).
125000 Iterations: Performing update (Visualization, outputting samples, etc.).
130000 Iterations: Performing update (Visualization, outputting samples, etc.).
135000 Iterations: Performing update (Visualization, outputting samples, etc.).
140000 Iterations: Performing update (Visualization, outputting samples, etc.).
145000 Iterations: Performing update (Visualization, outputting samples, etc.).
